     T(MeV)         phi_e         thetah           tnuh           nbh           a/a_i             N              P             H2            He4
 .6687202D+01  0.6743421D-09  0.1169961D-18  0.1000000D+01  0.9188476D-06  0.1495440D+01  0.4501791D+00  0.5498208D+00  0.2842778D-11  0.1000000D-29
 .6637511D+01  0.6747397D-09  0.1152639D-18  0.1000000D+01  0.8985032D-06  0.1506636D+01  0.4498395D+00  0.5501604D+00  0.2817732D-11  0.1000000D-29
 .6588125D+01  0.6751414D-09  0.1135551D-18  0.1000000D+01  0.8785834D-06  0.1517932D+01  0.4494969D+00  0.5505030D+00  0.2792920D-11  0.1000000D-29
 .6545157D+01  0.6754962D-09  0.1120787D-18  0.1000000D+01  0.8614936D-06  0.1527898D+01  0.4491947D+00  0.5508052D+00  0.2771400D-11  0.1000000D-29
 .6496324D+01  0.6759056D-09  0.1104126D-18  0.1000000D+01  0.8423419D-06  0.1539385D+01  0.4488465D+00  0.5511534D+00  0.2747016D-11  0.1000000D-29
 .6447776D+01  0.6763192D-09  0.1087685D-18  0.1000000D+01  0.8235857D-06  0.1550977D+01  0.4484952D+00  0.5515047D+00  0.2722855D-11  0.1000000D-29
 .6405527D+01  0.6766846D-09  0.1073478D-18  0.1000000D+01  0.8074913D-06  0.1561208D+01  0.4481853D+00  0.5518146D+00  0.2701894D-11  0.1000000D-29
 .6357503D+01  0.6771063D-09  0.1057297D-18  0.1000000D+01  0.7894534D-06  0.1573003D+01  0.4478281D+00  0.5521718D+00  0.2678140D-11  0.1000000D-29
 .6315703D+01  0.6774790D-09  0.1043440D-18  0.1000000D+01  0.7739737D-06  0.1583415D+01  0.4475130D+00  0.5524869D+00  0.2657530D-11  0.1000000D-29
 .6268182D+01  0.6779092D-09  0.1027797D-18  0.1000000D+01  0.7566226D-06  0.1595422D+01  0.4471497D+00  0.5528502D+00  0.2634171D-11  0.1000000D-29
 .6220922D+01  0.6783439D-09  0.1012357D-18  0.1000000D+01  0.7396263D-06  0.1607544D+01  0.4467830D+00  0.5532169D+00  0.2611017D-11  0.1000000D-29
 .6179783D+01  0.6787280D-09  0.9990113D-19  0.1000000D+01  0.7250398D-06  0.1618247D+01  0.4464594D+00  0.5535405D+00  0.2590924D-11  0.1000000D-29
 .6133005D+01  0.6791715D-09  0.9839445D-19  0.1000000D+01  0.7086888D-06  0.1630591D+01  0.4460862D+00  0.5539137D+00  0.2568149D-11  0.1000000D-29
 .6092282D+01  0.6795634D-09  0.9709209D-19  0.1000000D+01  0.6946558D-06  0.1641493D+01  0.4457568D+00  0.5542431D+00  0.2548383D-11  0.1000000D-29
 .6045975D+01  0.6800159D-09  0.9562169D-19  0.1000000D+01  0.6789252D-06  0.1654067D+01  0.4453770D+00  0.5546229D+00  0.2525976D-11  0.1000000D-29
 .6005658D+01  0.6804159D-09  0.9435065D-19  0.1000000D+01  0.6654246D-06  0.1665173D+01  0.4450416D+00  0.5549583D+00  0.2506530D-11  0.1000000D-29
 .5959811D+01  0.6808778D-09  0.9291557D-19  0.1000000D+01  0.6502909D-06  0.1677985D+01  0.4446547D+00  0.5553452D+00  0.2484485D-11  0.1000000D-29
 .5919894D+01  0.6812862D-09  0.9167504D-19  0.1000000D+01  0.6373027D-06  0.1689301D+01  0.4443131D+00  0.5556868D+00  0.2465351D-11  0.1000000D-29
 .5874498D+01  0.6817579D-09  0.9027441D-19  0.1000000D+01  0.6227438D-06  0.1702358D+01  0.4439189D+00  0.5560810D+00  0.2443660D-11  0.1000000D-29
 .5834972D+01  0.6821750D-09  0.8906365D-19  0.1000000D+01  0.6102493D-06  0.1713892D+01  0.4435708D+00  0.5564291D+00  0.2424833D-11  0.1000000D-29
 .5790020D+01  0.6826567D-09  0.8769662D-19  0.1000000D+01  0.5962442D-06  0.1727200D+01  0.4431691D+00  0.5568308D+00  0.2403489D-11  0.1000000D-29
 .5750879D+01  0.6830828D-09  0.8651490D-19  0.1000000D+01  0.5842254D-06  0.1738958D+01  0.4428142D+00  0.5571857D+00  0.2384963D-11  0.1000000D-29
 .5711916D+01  0.6835133D-09  0.8534651D-19  0.1000000D+01  0.5724227D-06  0.1750822D+01  0.4424561D+00  0.5575438D+00  0.2366575D-11  0.1000000D-29
 .5667602D+01  0.6840106D-09  0.8402733D-19  0.1000000D+01  0.5591937D-06  0.1764514D+01  0.4420428D+00  0.5579571D+00  0.2345729D-11  0.1000000D-29
 .5629015D+01  0.6844505D-09  0.8288700D-19  0.1000000D+01  0.5478417D-06  0.1776612D+01  0.4416775D+00  0.5583224D+00  0.2327635D-11  0.1000000D-29
 .5590602D+01  0.6848951D-09  0.8175953D-19  0.1000000D+01  0.5366945D-06  0.1788822D+01  0.4413088D+00  0.5586911D+00  0.2309676D-11  0.1000000D-29
 .5546912D+01  0.6854088D-09  0.8048657D-19  0.1000000D+01  0.5242011D-06  0.1802914D+01  0.4408831D+00  0.5591168D+00  0.2289315D-11  0.1000000D-29
 .5508866D+01  0.6858634D-09  0.7938620D-19  0.1000000D+01  0.5134810D-06  0.1815368D+01  0.4405068D+00  0.5594931D+00  0.2271641D-11  0.1000000D-29
 .5470991D+01  0.6863229D-09  0.7829827D-19  0.1000000D+01  0.5029549D-06  0.1827938D+01  0.4401268D+00  0.5598730D+00  0.2254099D-11  0.1000000D-29
 .5427911D+01  0.6868540D-09  0.7706996D-19  0.1000000D+01  0.4911584D-06  0.1842449D+01  0.4396881D+00  0.5603118D+00  0.2234211D-11  0.1000000D-29
 .5390395D+01  0.6873241D-09  0.7600820D-19  0.1000000D+01  0.4810370D-06  0.1855275D+01  0.4393001D+00  0.5606998D+00  0.2216947D-11  0.1000000D-29
 .5353044D+01  0.6877993D-09  0.7495844D-19  0.1000000D+01  0.4710994D-06  0.1868223D+01  0.4389082D+00  0.5610917D+00  0.2199811D-11  0.1000000D-29
 .5315858D+01  0.6882797D-09  0.7392054D-19  0.1000000D+01  0.4613425D-06  0.1881295D+01  0.4385125D+00  0.5614874D+00  0.2182803D-11  0.1000000D-29
